,type,value,date
4634,PRCP,0,1962-01-6
4635,TMAX,280,1962-02-6
4636,TMIN,150,1962-02-6
4637,PRCP,0,1962-02-6
4638,TMAX,310,1962-03-6
4639,TMIN,170,1962-03-6
4640,PRCP,0,1962-03-6
4641,TMAX,320,1962-04-6
4642,TMIN,170,1962-04-6
4643,PRCP,0,1962-04-6
4644,PRCP,0,1962-05-6
4645,PRCP,0,1962-06-6
4646,PRCP,0,1962-08-6
4649,PRCP,0,1962-09-6
4650,TMAX,260,1962-10-6
4651,TMIN,150,1962-10-6
4652,PRCP,88,1962-10-6
4653,TMAX,260,1962-11-6
4654,TMIN,140,1962-11-6
4655,PRCP,10,1962-11-6
4656,TMAX,280,1962-12-6
4657,TMIN,130,1962-12-6
4658,PRCP,0,1962-12-6
4659,TMAX,250,1963-01-6
4660,TMIN,100,1963-01-6
4661,PRCP,0,1963-01-6
4662,TMAX,260,1963-02-6
4663,TMIN,110,1963-02-6
4664,PRCP,0,1963-02-6
4665,TMAX,250,1963-03-6
4666,TMIN,140,1963-03-6
4667,PRCP,0,1963-03-6
4668,TMAX,200,1963-05-6
4669,TMIN,130,1963-05-6
4670,PRCP,0,1963-05-6
4671,TMAX,230,1963-08-6
4672,TMIN,190,1963-08-6
4673,PRCP,0,1963-08-6
4674,TMAX,260,1963-09-6
4675,TMIN,150,1963-09-6
4676,PRCP,180,1963-09-6
4677,TMAX,280,1963-10-6
4678,TMIN,150,1963-10-6
4679,PRCP,0,1963-10-6
4680,TMAX,190,1963-11-6
4681,TMIN,140,1963-11-6
4682,PRCP,0,1963-11-6
4683,TMAX,140,1963-12-6
4684,TMIN,110,1963-12-6
4685,PRCP,0,1963-12-6
4686,TMAX,250,1964-02-6
4687,TMIN,120,1964-02-6
4688,PRCP,0,1964-02-6
4689,TMAX,270,1964-03-6
4690,TMIN,150,1964-03-6
4691,PRCP,0,1964-03-6
4692,TMAX,310,1964-04-6
4693,TMIN,170,1964-04-6
4694,PRCP,0,1964-04-6
4695,TMAX,320,1964-05-6
4696,TMIN,210,1964-05-6
4697,PRCP,0,1964-05-6
4698,TMAX,240,1964-06-6
4699,TMIN,160,1964-06-6
4700,PRCP,0,1964-06-6
4701,TMAX,265,1964-07-6
4702,TMIN,155,1964-07-6
4703,PRCP,220,1964-07-6
4704,TMAX,270,1964-08-6
4705,TMIN,145,1964-08-6
4706,PRCP,620,1964-08-6
4707,TMAX,240,1964-09-6
4708,TMIN,160,1964-09-6
4709,PRCP,120,1964-09-6
4710,TMAX,230,1964-10-6
4711,TMIN,100,1964-10-6
4712,PRCP,0,1964-10-6
4713,TMAX,240,1964-11-6
4714,TMIN,120,1964-11-6
4715,PRCP,0,1964-11-6
4716,TMAX,240,1964-12-6
4717,TMIN,130,1964-12-6
4718,PRCP,0,1964-12-6
4719,TMAX,230,1965-01-6
4720,TMIN,100,1965-01-6
4721,PRCP,0,1965-01-6
4722,TMAX,310,1965-05-6
4723,TMIN,180,1965-05-6
4724,PRCP,0,1965-05-6
4725,TMAX,230,1965-06-6
4726,TMIN,180,1965-06-6
4727,PRCP,390,1965-06-6
4728,TMAX,250,1965-07-6
4729,TMIN,160,1965-07-6
4730,PRCP,121,1965-07-6
4731,TMAX,230,1965-08-6
4732,TMIN,160,1965-08-6
4733,PRCP,0,1965-08-6
4734,TMAX,235,1965-09-6
4735,TMIN,160,1965-09-6
4736,PRCP,257,1965-09-6
4737,TMAX,220,1965-10-6
4738,TMIN,135,1965-10-6
4739,PRCP,0,1965-10-6
4740,TMAX,250,1965-11-6
4741,TMIN,135,1965-11-6
4742,PRCP,61,1965-11-6
4743,TMAX,190,1965-12-6
4744,TMIN,135,1965-12-6
4745,PRCP,0,1965-12-6
4746,TMAX,240,1966-01-6
4747,TMIN,125,1966-01-6
4748,PRCP,0,1966-01-6
4749,TMAX,250,1966-02-6
4750,TMIN,100,1966-02-6
4751,PRCP,0,1966-02-6
4752,TMAX,250,1966-03-6
4753,TMIN,105,1966-03-6
4754,PRCP,0,1966-03-6
4755,TMAX,275,1966-04-6
4756,TMIN,140,1966-04-6
4757,PRCP,0,1966-04-6
4758,TMAX,275,1966-05-6
4759,TMIN,150,1966-05-6
4760,PRCP,15,1966-05-6
4761,TMAX,295,1966-06-6
4762,TMIN,180,1966-06-6
4763,PRCP,0,1966-06-6
4764,TMAX,250,1966-07-6
4765,TMIN,150,1966-07-6
4766,PRCP,0,1966-07-6
4767,TMAX,250,1966-08-6
4768,TMIN,155,1966-08-6
4769,PRCP,240,1966-08-6
4770,TMAX,255,1966-09-6
4771,TMIN,150,1966-09-6
4772,PRCP,0,1966-09-6
4773,TMAX,255,1966-10-6
4774,TMIN,140,1966-10-6
4775,PRCP,0,1966-10-6
4776,TMAX,258,1966-11-6
4777,TMIN,116,1966-11-6
4778,PRCP,0,1966-11-6
4779,TMAX,258,1966-12-6
4780,TMIN,130,1966-12-6
4781,PRCP,0,1966-12-6
4782,TMAX,256,1967-01-6
4783,TMIN,102,1967-01-6
4784,PRCP,0,1967-01-6
4785,TMAX,266,1967-02-6
4786,TMIN,126,1967-02-6
4787,PRCP,0,1967-02-6
4788,TMAX,299,1967-03-6
4789,TMIN,148,1967-03-6
4790,PRCP,0,1967-03-6
4791,TMAX,291,1967-04-6
4792,TMIN,160,1967-04-6
4793,PRCP,0,1967-04-6
4794,TMAX,336,1967-05-6
4795,TMIN,180,1967-05-6
4796,PRCP,0,1967-05-6
4797,TMAX,300,1967-06-6
4798,TMIN,168,1967-06-6
4799,PRCP,0,1967-06-6
4800,TMAX,290,1967-07-6
4801,TMIN,154,1967-07-6
4802,PRCP,0,1967-07-6
4803,TMAX,298,1967-08-6
4804,TMIN,156,1967-08-6
4805,PRCP,110,1967-08-6
4806,TMAX,271,1967-09-6
4807,TMIN,160,1967-09-6
4808,PRCP,38,1967-09-6
4809,TMAX,253,1967-10-6
4810,TMIN,148,1967-10-6
4811,PRCP,58,1967-10-6
4812,TMAX,270,1967-11-6
4813,TMIN,139,1967-11-6
4814,PRCP,0,1967-11-6
4815,TMAX,232,1967-12-6
4816,TMIN,153,1967-12-6
4817,PRCP,0,1967-12-6
4818,TMAX,262,1968-01-6
4819,TMIN,143,1968-01-6
4820,PRCP,0,1968-01-6
4821,TMAX,233,1968-02-6
4822,TMIN,92,1968-02-6
4823,PRCP,0,1968-02-6
4824,TMAX,250,1968-03-6
4825,TMIN,123,1968-03-6
4826,PRCP,0,1968-03-6
4827,TMAX,290,1968-04-6
4828,TMIN,170,1968-04-6
4829,PRCP,0,1968-04-6
4830,TMAX,300,1968-05-6
4831,TMIN,180,1968-05-6
4832,PRCP,0,1968-05-6
4833,TMAX,290,1968-06-6
4834,TMIN,172,1968-06-6
4835,PRCP,0,1968-06-6
4836,TMAX,230,1968-07-6
4837,TMIN,164,1968-07-6
4838,PRCP,18,1968-07-6
4839,TMAX,263,1968-08-6
4840,TMIN,150,1968-08-6
4841,PRCP,0,1968-08-6
4842,TMAX,252,1968-09-6
4843,TMIN,150,1968-09-6
4844,PRCP,10,1968-09-6
4845,TMAX,260,1968-10-6
4846,TMIN,152,1968-10-6
4847,PRCP,210,1968-10-6
4848,TMAX,270,1968-11-6
4849,TMIN,144,1968-11-6
4850,PRCP,0,1968-11-6
4851,TMAX,243,1968-12-6
4852,TMIN,150,1968-12-6
4853,PRCP,15,1968-12-6
4854,TMAX,202,1969-01-6
4855,TMIN,114,1969-01-6
4856,PRCP,0,1969-01-6
4857,TMAX,272,1969-02-6
4858,TMIN,134,1969-02-6
4859,PRCP,0,1969-02-6
4860,TMAX,230,1969-03-6
4861,TMIN,150,1969-03-6
4862,PRCP,0,1969-03-6
4863,TMAX,310,1969-04-6
4864,TMIN,190,1969-04-6
4865,PRCP,0,1969-04-6
4866,TMAX,322,1969-05-6
4867,TMIN,170,1969-05-6
4868,PRCP,0,1969-05-6
4869,TMAX,312,1969-06-6
4870,TMIN,190,1969-06-6
4871,PRCP,0,1969-06-6
4872,TMAX,278,1969-07-6
4873,TMIN,160,1969-07-6
4874,PRCP,585,1969-07-6
4875,TMAX,240,1969-08-6
4876,TMIN,160,1969-08-6
4877,PRCP,79,1969-08-6
4878,TMAX,260,1969-09-6
4879,TMIN,170,1969-09-6
4880,PRCP,2,1969-09-6
4881,TMAX,250,1969-10-6
4882,TMIN,164,1969-10-6
4883,PRCP,70,1969-10-6
4884,TMAX,278,1969-11-6
4885,TMIN,162,1969-11-6
4886,PRCP,0,1969-11-6
4887,TMAX,220,1969-12-6
4888,TMIN,154,1969-12-6
4889,PRCP,0,1969-12-6
4890,TMAX,250,1970-01-6
4891,TMIN,134,1970-01-6
4892,PRCP,0,1970-01-6
4893,TMAX,266,1970-02-6
4894,TMIN,143,1970-02-6
4895,PRCP,0,1970-02-6
4896,TMAX,260,1970-03-6
4897,TMIN,132,1970-03-6
4898,PRCP,0,1970-03-6
4899,TMAX,310,1970-04-6
4900,TMIN,183,1970-04-6
4901,PRCP,50,1970-04-6
4902,TMAX,293,1970-05-6
4903,TMIN,148,1970-05-6
4904,PRCP,0,1970-05-6
4905,TMAX,312,1970-06-6
4906,TMIN,180,1970-06-6
4907,PRCP,0,1970-06-6
4908,TMAX,246,1970-07-6
4909,TMIN,164,1970-07-6
4910,PRCP,40,1970-07-6
4911,TMAX,230,1970-08-6
4912,TMIN,161,1970-08-6
4913,PRCP,5,1970-08-6
4914,TMAX,254,1970-09-6
4915,TMIN,157,1970-09-6
4916,PRCP,115,1970-09-6
4917,TMAX,263,1970-10-6
4918,TMIN,168,1970-10-6
4919,PRCP,0,1970-10-6
4920,TMAX,266,1970-11-6
4921,TMIN,124,1970-11-6
4922,PRCP,0,1970-11-6
4923,TMAX,250,1970-12-6
4924,TMIN,100,1970-12-6
4925,PRCP,0,1970-12-6
4926,TMAX,272,1971-01-6
4927,TMIN,123,1971-01-6
4928,PRCP,0,1971-01-6
4929,TMAX,280,1971-02-6
4930,TMIN,123,1971-02-6
4931,PRCP,0,1971-02-6
4932,TMAX,311,1971-06-6
4933,TMIN,180,1971-06-6
4934,PRCP,0,1971-06-6
4935,TMAX,280,1971-07-6
4936,TMIN,173,1971-07-6
4937,PRCP,8,1971-07-6
4938,TMAX,273,1971-08-6
4939,TMIN,150,1971-08-6
4940,PRCP,5,1971-08-6
4941,TMAX,265,1971-09-6
4942,TMIN,150,1971-09-6
4943,PRCP,80,1971-09-6
4944,TMAX,245,1971-10-6
4945,TMIN,160,1971-10-6
4946,PRCP,845,1971-10-6
4947,TMAX,250,1971-11-6
4948,TMIN,125,1971-11-6
4949,PRCP,0,1971-11-6
4950,TMAX,235,1971-12-6
4951,TMIN,125,1971-12-6
4952,PRCP,0,1971-12-6
4953,TMAX,250,1972-01-6
4954,TMIN,115,1972-01-6
4955,PRCP,0,1972-01-6
4956,TMAX,250,1972-02-6
4957,TMIN,120,1972-02-6
4958,PRCP,0,1972-02-6
4959,TMAX,275,1972-03-6
4960,TMIN,110,1972-03-6
4961,PRCP,0,1972-03-6
4962,TMAX,295,1972-04-6
4963,TMIN,100,1972-04-6
4964,PRCP,0,1972-04-6
4965,TMAX,270,1972-05-6
4966,TMIN,180,1972-05-6
4967,PRCP,0,1972-05-6
4968,TMAX,305,1972-06-6
4969,TMIN,175,1972-06-6
4970,PRCP,110,1972-06-6
4971,TMAX,255,1972-07-6
4972,TMIN,140,1972-07-6
4973,PRCP,75,1972-07-6
4974,TMAX,245,1972-08-6
4975,TMIN,160,1972-08-6
4976,PRCP,55,1972-08-6
4977,TMAX,260,1972-09-6
4978,TMIN,160,1972-09-6
4979,PRCP,0,1972-09-6
4980,TMAX,260,1972-10-6
4981,TMIN,150,1972-10-6
4982,PRCP,0,1972-10-6
4983,TMAX,250,1972-11-6
4984,TMIN,160,1972-11-6
4985,PRCP,0,1972-11-6
4986,TMAX,260,1972-12-6
4987,TMIN,155,1972-12-6
4988,PRCP,0,1972-12-6
4989,TMAX,250,1973-01-6
4990,TMIN,135,1973-01-6
4991,PRCP,0,1973-01-6
4992,TMAX,250,1973-02-6
4993,TMIN,120,1973-02-6
4994,PRCP,0,1973-02-6
4995,TMAX,295,1973-03-6
4996,TMIN,110,1973-03-6
4997,PRCP,0,1973-03-6
4998,TMAX,240,1973-04-6
4999,TMIN,160,1973-04-6
5000,PRCP,55,1973-04-6
5001,TMAX,310,1973-05-6
5002,TMIN,180,1973-05-6
5003,PRCP,0,1973-05-6
5004,TMAX,290,1973-06-6
5005,TMIN,190,1973-06-6
5006,PRCP,0,1973-06-6
5007,TMAX,220,1973-08-6
5008,TMIN,170,1973-08-6
5009,PRCP,0,1973-08-6
5010,TMAX,230,1973-09-6
5011,TMIN,160,1973-09-6
5012,PRCP,445,1973-09-6
5013,TMAX,250,1973-10-6
5014,TMIN,150,1973-10-6
5015,PRCP,0,1973-10-6
5016,TMAX,255,1973-11-6
5017,TMIN,140,1973-11-6
5018,PRCP,0,1973-11-6
5019,TMAX,240,1973-12-6
5020,TMIN,140,1973-12-6
5021,PRCP,0,1973-12-6
5024,PRCP,0,1974-01-6
5025,TMAX,265,1974-02-6
5026,TMIN,150,1974-02-6
5027,PRCP,0,1974-02-6
5028,TMAX,275,1974-03-6
5029,TMIN,135,1974-03-6
5030,PRCP,0,1974-03-6
5031,TMAX,270,1974-04-6
5032,TMIN,120,1974-04-6
5033,PRCP,0,1974-04-6
5034,TMAX,300,1974-05-6
5035,TMIN,180,1974-05-6
5036,PRCP,0,1974-05-6
5037,TMAX,280,1974-06-6
5038,TMIN,190,1974-06-6
5039,PRCP,0,1974-06-6
5040,TMAX,230,1974-07-6
5041,TMIN,160,1974-07-6
5042,PRCP,20,1974-07-6
5043,TMAX,250,1974-08-6
5044,TMIN,150,1974-08-6
5045,PRCP,160,1974-08-6
5046,TMAX,230,1974-09-6
5047,TMIN,150,1974-09-6
5048,PRCP,0,1974-09-6
5049,TMAX,255,1974-10-6
5050,TMIN,110,1974-10-6
5051,PRCP,0,1974-10-6
5052,TMAX,260,1974-11-6
5053,TMIN,160,1974-11-6
5054,PRCP,0,1974-11-6
5055,TMAX,250,1974-12-6
5056,TMIN,140,1974-12-6
5057,PRCP,0,1974-12-6
5058,TMAX,240,1975-01-6
5059,TMIN,140,1975-01-6
5060,PRCP,0,1975-01-6
5061,TMAX,240,1975-02-6
5062,TMIN,130,1975-02-6
5063,PRCP,0,1975-02-6
5064,TMAX,230,1975-03-6
5065,TMIN,150,1975-03-6
5066,PRCP,0,1975-03-6
5067,TMAX,300,1975-04-6
5068,TMIN,170,1975-04-6
5069,PRCP,0,1975-04-6
5070,TMAX,320,1975-05-6
5071,TMIN,170,1975-05-6
5072,PRCP,0,1975-05-6
5073,TMAX,280,1975-06-6
5074,TMIN,160,1975-06-6
5075,PRCP,175,1975-06-6
5076,TMAX,250,1975-07-6
5077,TMIN,150,1975-07-6
5078,PRCP,0,1975-07-6
5079,TMAX,240,1975-08-6
5080,TMIN,160,1975-08-6
5081,PRCP,400,1975-08-6
5082,TMAX,240,1975-09-6
5083,TMIN,150,1975-09-6
5084,PRCP,0,1975-09-6
5085,TMAX,220,1975-10-6
5086,TMIN,150,1975-10-6
5087,PRCP,0,1975-10-6
5088,TMAX,250,1975-11-6
5089,TMIN,160,1975-11-6
5090,PRCP,0,1975-11-6
5091,TMAX,250,1975-12-6
5092,TMIN,130,1975-12-6
5093,PRCP,0,1975-12-6
5094,TMAX,240,1976-01-6
5095,TMIN,130,1976-01-6
5096,PRCP,0,1976-01-6
5097,TMAX,265,1976-02-6
5098,TMIN,130,1976-02-6
5099,PRCP,0,1976-02-6
5100,TMAX,260,1976-03-6
5101,TMIN,140,1976-03-6
5102,PRCP,0,1976-03-6
5103,TMAX,250,1976-04-6
5104,TMIN,160,1976-04-6
5105,PRCP,0,1976-04-6
5106,TMAX,305,1976-05-6
5107,TMIN,170,1976-05-6
5108,PRCP,0,1976-05-6
5109,TMAX,290,1976-06-6
5110,TMIN,160,1976-06-6
5111,PRCP,0,1976-06-6
5112,TMAX,240,1976-07-6
5113,TMIN,170,1976-07-6
5114,PRCP,0,1976-07-6
5115,TMAX,260,1976-08-6
5116,TMIN,170,1976-08-6
5117,PRCP,0,1976-08-6
5118,TMAX,260,1976-09-6
5119,TMIN,155,1976-09-6
5120,PRCP,0,1976-09-6
5121,TMAX,230,1976-10-6
5122,TMIN,150,1976-10-6
5123,PRCP,225,1976-10-6
5124,TMAX,230,1976-11-6
5125,TMIN,100,1976-11-6
5126,PRCP,0,1976-11-6
5127,TMAX,260,1976-12-6
5128,TMIN,130,1976-12-6
5129,PRCP,0,1976-12-6
5130,TMAX,270,1977-01-6
5131,TMIN,130,1977-01-6
5132,PRCP,0,1977-01-6
5133,TMAX,260,1977-02-6
5134,TMIN,130,1977-02-6
5135,PRCP,0,1977-02-6
5136,TMAX,300,1977-03-6
5137,TMIN,150,1977-03-6
5138,PRCP,0,1977-03-6
5139,TMAX,280,1977-04-6
5140,TMIN,170,1977-04-6
5141,PRCP,0,1977-04-6
5142,TMAX,300,1977-05-6
5143,TMIN,160,1977-05-6
5144,PRCP,0,1977-05-6
5145,TMAX,270,1977-06-6
5146,TMIN,170,1977-06-6
5147,PRCP,0,1977-06-6
5148,TMAX,250,1977-07-6
5149,TMIN,160,1977-07-6
5150,PRCP,0,1977-07-6
5151,TMAX,260,1977-08-6
5152,TMIN,160,1977-08-6
5153,PRCP,50,1977-08-6
5154,TMAX,265,1977-09-6
5155,TMIN,160,1977-09-6
5156,PRCP,0,1977-09-6
5157,TMAX,270,1977-10-6
5158,TMIN,155,1977-10-6
5159,PRCP,0,1977-10-6
5160,TMAX,275,1977-11-6
5161,TMIN,135,1977-11-6
5162,PRCP,0,1977-11-6
5163,TMAX,240,1977-12-6
5164,TMIN,160,1977-12-6
5165,PRCP,0,1977-12-6
5166,TMAX,275,1978-01-6
5167,TMIN,140,1978-01-6
5168,PRCP,0,1978-01-6
5169,TMAX,235,1978-02-6
5170,TMIN,90,1978-02-6
5171,PRCP,0,1978-02-6
5172,TMAX,285,1978-03-6
5173,TMIN,140,1978-03-6
5174,PRCP,0,1978-03-6
5175,TMAX,320,1978-04-6
5176,TMIN,160,1978-04-6
5177,PRCP,0,1978-04-6
5178,TMAX,300,1978-05-6
5179,TMIN,160,1978-05-6
5180,PRCP,0,1978-05-6
5181,TMAX,225,1978-06-6
5182,TMIN,165,1978-06-6
5183,PRCP,10,1978-06-6
5184,TMAX,280,1978-07-6
5185,TMIN,160,1978-07-6
5186,PRCP,0,1978-07-6
5187,TMAX,280,1978-08-6
5188,TMIN,150,1978-08-6
5189,PRCP,0,1978-08-6
5190,TMAX,245,1978-09-6
5191,TMIN,170,1978-09-6
5192,PRCP,14,1978-09-6
5193,TMAX,265,1978-10-6
5194,TMIN,165,1978-10-6
5195,PRCP,222,1978-10-6
5196,TMAX,265,1978-11-6
5197,TMIN,140,1978-11-6
5198,PRCP,0,1978-11-6
5199,TMAX,250,1978-12-6
5200,TMIN,145,1978-12-6
5201,PRCP,0,1978-12-6
5202,TMAX,255,1979-01-6
5203,TMIN,130,1979-01-6
5204,PRCP,0,1979-01-6
5205,TMAX,240,1979-02-6
5206,TMIN,145,1979-02-6
5207,PRCP,0,1979-02-6
5208,TMAX,250,1979-03-6
5209,TMIN,145,1979-03-6
5210,PRCP,0,1979-03-6
5211,TMAX,305,1979-04-6
5212,TMIN,180,1979-04-6
5213,PRCP,0,1979-04-6
5214,TMAX,295,1979-05-6
5215,TMIN,160,1979-05-6
5216,PRCP,0,1979-05-6
5217,TMAX,260,1979-06-6
5218,TMIN,185,1979-06-6
5219,PRCP,0,1979-06-6
5220,TMAX,280,1979-07-6
5221,TMIN,185,1979-07-6
5222,PRCP,10,1979-07-6
5223,TMAX,215,1979-08-6
5224,TMIN,150,1979-08-6
5225,PRCP,30,1979-08-6
5226,TMAX,245,1979-09-6
5227,TMIN,155,1979-09-6
5228,PRCP,2,1979-09-6
5229,TMAX,275,1979-10-6
5230,TMIN,115,1979-10-6
5231,PRCP,0,1979-10-6
5232,TMAX,285,1979-11-6
5233,TMIN,100,1979-11-6
5234,PRCP,0,1979-11-6
5235,TMAX,290,1979-12-6
5236,TMIN,90,1979-12-6
5237,PRCP,0,1979-12-6
5238,TMAX,260,1980-01-6
5239,TMIN,115,1980-01-6
5240,PRCP,0,1980-01-6
5241,TMAX,250,1980-02-6
5242,TMIN,130,1980-02-6
5243,PRCP,0,1980-02-6
5244,TMAX,290,1980-03-6
5245,TMIN,160,1980-03-6
5246,PRCP,0,1980-03-6
5247,TMAX,310,1980-04-6
5248,TMIN,180,1980-04-6
5249,PRCP,0,1980-04-6
5250,TMAX,285,1980-05-6
5251,TMIN,190,1980-05-6
5252,PRCP,95,1980-05-6
5253,TMAX,305,1980-06-6
5254,TMIN,190,1980-06-6
5255,PRCP,0,1980-06-6
5256,TMAX,265,1980-07-6
5257,TMIN,170,1980-07-6
5258,PRCP,53,1980-07-6
5259,TMAX,250,1980-08-6
5260,TMIN,170,1980-08-6
5261,PRCP,0,1980-08-6
5262,TMAX,290,1980-09-6
5263,TMIN,170,1980-09-6
5264,PRCP,81,1980-09-6
5265,TMAX,240,1980-10-6
5266,TMIN,120,1980-10-6
5267,PRCP,0,1980-10-6
5268,TMAX,230,1980-11-6
5269,TMIN,140,1980-11-6
5270,PRCP,0,1980-11-6
5271,TMAX,270,1980-12-6
5272,TMIN,155,1980-12-6
5273,PRCP,0,1980-12-6
5274,TMAX,320,1955-04-7
5275,TMIN,160,1955-04-7
5276,PRCP,0,1955-04-7
5277,TMAX,310,1955-05-7
5278,TMIN,160,1955-05-7
5279,PRCP,0,1955-05-7
5280,TMAX,230,1955-06-7
5281,TMIN,150,1955-06-7
5282,PRCP,0,1955-06-7
5283,TMAX,190,1955-07-7
5284,TMIN,150,1955-07-7
5285,PRCP,156,1955-07-7
5286,TMAX,250,1955-08-7
5287,TMIN,150,1955-08-7
5288,PRCP,0,1955-08-7
5289,TMAX,250,1955-09-7
5290,TMIN,150,1955-09-7
5291,PRCP,232,1955-09-7
5292,TMAX,270,1955-10-7
5293,TMIN,130,1955-10-7
5294,PRCP,0,1955-10-7
5295,TMAX,240,1955-11-7
5296,TMIN,130,1955-11-7
5297,PRCP,25,1955-11-7
5298,TMAX,250,1955-12-7
5299,TMIN,120,1955-12-7
5300,PRCP,0,1955-12-7
5301,TMAX,230,1956-01-7
5302,TMIN,70,1956-01-7
5303,PRCP,0,1956-01-7
5304,TMAX,240,1956-02-7
5305,TMIN,110,1956-02-7
5306,PRCP,0,1956-02-7
5307,TMAX,310,1956-03-7
5308,TMIN,150,1956-03-7
5309,PRCP,0,1956-03-7
5310,TMAX,310,1956-04-7
5311,TMIN,160,1956-04-7
5312,PRCP,0,1956-04-7
5313,TMAX,300,1956-05-7
5314,TMIN,160,1956-05-7
5315,PRCP,0,1956-05-7
5316,TMAX,250,1956-06-7
5317,TMIN,150,1956-06-7
5318,PRCP,119,1956-06-7
5319,TMAX,260,1956-07-7
5320,TMIN,150,1956-07-7
5321,PRCP,0,1956-07-7
5322,TMAX,260,1956-08-7
5323,TMIN,150,1956-08-7
5324,PRCP,27,1956-08-7
5325,TMAX,250,1956-09-7
5326,TMIN,140,1956-09-7
5327,PRCP,42,1956-09-7
5328,TMAX,260,1956-10-7
5329,TMIN,140,1956-10-7
5330,PRCP,0,1956-10-7
5331,TMAX,270,1956-12-7
5332,TMIN,140,1956-12-7
5333,PRCP,0,1956-12-7
5334,TMAX,290,1957-01-7
5335,TMIN,130,1957-01-7
5336,PRCP,0,1957-01-7
5337,TMAX,280,1957-02-7
5338,TMIN,120,1957-02-7
5339,PRCP,0,1957-02-7
5340,TMAX,290,1957-03-7
5341,TMIN,110,1957-03-7
5342,PRCP,0,1957-03-7
5343,TMAX,320,1957-04-7
5344,TMIN,170,1957-04-7
5345,PRCP,0,1957-04-7
5346,TMAX,240,1957-05-7
5347,TMIN,140,1957-05-7
5348,PRCP,0,1957-05-7
5349,TMAX,290,1957-06-7
5350,TMIN,180,1957-06-7
5351,PRCP,0,1957-06-7
5352,TMAX,270,1957-07-7
5353,TMIN,150,1957-07-7
5354,PRCP,38,1957-07-7
5355,TMAX,280,1957-08-7
5356,TMIN,150,1957-08-7
5357,PRCP,0,1957-08-7
5358,TMAX,280,1957-10-7
5359,TMIN,150,1957-10-7
5360,PRCP,0,1957-10-7
5361,TMAX,280,1957-11-7
5362,TMIN,150,1957-11-7
5363,PRCP,0,1957-11-7
5364,TMAX,280,1957-12-7
5365,TMIN,140,1957-12-7
5366,PRCP,0,1957-12-7
5367,TMAX,220,1958-01-7
5368,TMIN,100,1958-01-7
5369,PRCP,0,1958-01-7
5370,TMAX,270,1958-02-7
5371,TMIN,100,1958-02-7
5372,PRCP,0,1958-02-7
5373,TMAX,280,1958-03-7
5374,TMIN,160,1958-03-7
5375,PRCP,0,1958-03-7
5376,TMAX,340,1958-04-7
5377,TMIN,190,1958-04-7
5378,PRCP,0,1958-04-7
5379,TMAX,290,1958-05-7
5380,TMIN,120,1958-05-7
5381,PRCP,4,1958-05-7
5382,TMAX,290,1958-06-7
5383,TMIN,170,1958-06-7
5384,PRCP,138,1958-06-7
5385,TMAX,260,1958-07-7
5386,TMIN,160,1958-07-7
5387,PRCP,467,1958-07-7
5388,TMAX,260,1958-08-7
5389,TMIN,150,1958-08-7
5390,PRCP,274,1958-08-7
5391,TMAX,260,1958-09-7
5392,TMIN,150,1958-09-7
5393,PRCP,13,1958-09-7
5394,TMAX,270,1958-10-7
5395,TMIN,170,1958-10-7
5396,PRCP,0,1958-10-7
5397,TMAX,260,1958-11-7
5398,TMIN,160,1958-11-7
5399,PRCP,398,1958-11-7
5400,TMAX,250,1958-12-7
5401,TMIN,130,1958-12-7
5402,PRCP,0,1958-12-7
5403,TMAX,250,1959-01-7
5404,TMIN,140,1959-01-7
5405,PRCP,0,1959-01-7
5406,TMAX,270,1959-02-7
5407,TMIN,150,1959-02-7
5408,PRCP,0,1959-02-7
5409,TMAX,290,1959-03-7
5410,TMIN,150,1959-03-7
5411,PRCP,0,1959-03-7
5412,TMAX,300,1959-04-7
5413,TMIN,160,1959-04-7
5414,PRCP,24,1959-04-7
5415,TMAX,300,1959-05-7
5416,TMIN,160,1959-05-7
5417,PRCP,0,1959-05-7
5418,TMAX,270,1959-06-7
5419,TMIN,170,1959-06-7
5420,PRCP,476,1959-06-7
5421,TMAX,260,1959-07-7
5422,TMIN,160,1959-07-7
5423,PRCP,0,1959-07-7
5424,TMAX,260,1959-08-7
5425,TMIN,160,1959-08-7
5426,PRCP,0,1959-08-7
5427,TMAX,240,1959-09-7
5428,TMIN,150,1959-09-7
5429,PRCP,0,1959-09-7
5430,TMAX,250,1959-10-7
5431,TMIN,150,1959-10-7
5432,PRCP,0,1959-10-7
5433,TMAX,240,1959-11-7
5434,TMIN,130,1959-11-7
5435,PRCP,0,1959-11-7
5436,TMAX,250,1959-12-7
5437,TMIN,130,1959-12-7
5438,PRCP,0,1959-12-7
5439,TMAX,230,1960-01-7
5440,TMIN,140,1960-01-7
5441,PRCP,63,1960-01-7
5442,TMAX,270,1960-02-7
5443,TMIN,130,1960-02-7
5444,PRCP,0,1960-02-7
5445,TMAX,290,1960-03-7
5446,TMIN,130,1960-03-7
5447,PRCP,0,1960-03-7
5448,TMAX,290,1960-04-7
5449,TMIN,140,1960-04-7
5450,PRCP,0,1960-04-7
5451,TMAX,330,1960-05-7
5452,TMIN,170,1960-05-7
5453,PRCP,25,1960-05-7
5454,TMAX,320,1960-06-7
5455,TMIN,200,1960-06-7
5456,PRCP,0,1960-06-7
5457,TMAX,240,1960-07-7
5458,TMIN,160,1960-07-7
5459,PRCP,0,1960-07-7
5460,TMAX,280,1960-08-7
